xx,yy,OBJECTID,Description,ParkType,Car_Park,Dog_Off_Leash_Area,Electric_BBQ,Picnic_Set,Rubbish_Bins,Shelter,Toilets,Water_Fountain,Basketball_Court,Play_Equipment,Playground_Area,Skate_Park,Exercise_Equipment,Suburb,ADDRESS,APS
477604.8637,7019361.7614,1083,Bmx Park (Woodford),Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,WOODFORD,11-27 ARCHER STREET WOODFORD,NO
488750.3185,6972591.3124,1084,John Scott Park,Park\District Civic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,SAMFORD VILLAGE,33 MAIN STREET SAMFORD VILLAGE,NO
500357.7522,6988994.9821,1085,Forrestal Circuit Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,NORTH LAKES,11 FORRESTAL CIRCUIT NORTH LAKES,NO
501176.0301,6988810.9446,1086,Paterson Street Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,NORTH LAKES,7 HAMPDEN STREET NORTH LAKES,NO
512152.1592,7004754.3027,1087,Tallow Court Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,No,No,No,No,No,No,SANDSTONE POINT,235 BESTMANN ROAD SANDSTONE POINT,NO
514536.5698,7007604.5354,1088,The Promontory Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,BANKSIA BEACH,21 THE PROMONTORY BANKSIA BEACH,NO
506010.9375,6989726.4426,1089,Woodland Street Park,Park\Local Recreatio,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,ROTHWELL,74 MORRIS ROAD ROTHWELL,NO
500179.1155,6989669.7564,1090,Capital Street Reserve,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,NORTH LAKES,Lot 985 KINGDOM CIRCUIT NORTH LAKES,NO
482367.1052,6992178.071,1091,Tullamore Park,Park\Linear Linkage,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,DAYBORO,89 MCKENZIE STREET DAYBORO,NO
509070.7364,6990062.1728,1092,Constance Court Reserve,Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,NEWPORT,15A CONSTANCE COURT NEWPORT,NO
